Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
0,0,144.2497833620557,(178.94683433666717:110.45807866745109),(310.0:24.0),(271.0:194.0),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
1,0,158.39191898578665,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(271.0:194.0),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
2,0,291.32799384885755,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
3,0,466.6904755831213,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
4,0,622.2539674441618,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
5,0,661.8519471906085,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
6,0,728.3199846221439,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
7,0,1084.7018023401638,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
8,0,1257.2358569496814,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
9,0,1285.5201281971433,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
10,0,1719.6836918456834,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
